user,gender,fb_friend_count,sender_count,recipient_count,caller_count,callee_count
548,0,2.0,49.0,47.0,1.0,3.0
549,0,8.0,20.0,14.0,2.0,7.0
550,1,30.0,0.0,1.0,0.0,1.0
551,0,12.0,57.0,43.0,10.0,5.0
552,0,15.0,5.0,5.0,0.0,5.0
553,0,8.0,4.0,5.0,0.0,2.0
554,0,3.0,11.0,6.0,2.0,4.0
555,1,2.0,0.0,0.0,0.0,0.0
556,1,13.0,41.0,65.0,2.0,9.0
557,1,8.0,101.0,106.0,19.0,18.0
558,1,8.0,19.0,20.0,1.0,0.0
559,0,11.0,1.0,0.0,4.0,1.0
560,0,15.0,107.0,110.0,36.0,52.0
561,0,8.0,13.0,13.0,29.0,13.0
562,1,16.0,1.0,0.0,0.0,1.0
563,0,16.0,0.0,0.0,0.0,0.0
564,0,16.0,8.0,11.0,2.0,2.0
565,0,1.0,0.0,0.0,0.0,0.0
566,-1,11.0,0.0,0.0,0.0,0.0
567,0,20.0,22.0,14.0,12.0,17.0
568,0,12.0,10.0,9.0,0.0,0.0
569,1,18.0,111.0,60.0,24.0,7.0
570,0,6.0,39.0,29.0,0.0,0.0
571,1,11.0,7.0,2.0,2.0,0.0
572,0,25.0,23.0,25.0,20.0,12.0
573,0,5.0,0.0,0.0,0.0,0.0
574,0,22.0,16.0,16.0,0.0,7.0
575,0,16.0,8.0,10.0,14.0,0.0
576,0,19.0,0.0,0.0,0.0,0.0
577,-1,7.0,0.0,0.0,0.0,0.0
578,0,59.0,1003.0,1158.0,67.0,101.0
579,0,3.0,0.0,0.0,0.0,0.0
580,0,17.0,33.0,25.0,5.0,5.0
581,0,18.0,0.0,0.0,0.0,0.0
582,0,16.0,4.0,3.0,2.0,6.0
583,0,28.0,7.0,15.0,3.0,8.0
584,0,6.0,53.0,57.0,9.0,6.0
585,0,5.0,8.0,13.0,1.0,4.0
586,0,9.0,41.0,49.0,9.0,8.0
587,0,9.0,0.0,0.0,0.0,0.0
588,1,19.0,21.0,20.0,2.0,0.0
589,1,23.0,20.0,25.0,3.0,2.0
590,0,44.0,0.0,1.0,0.0,0.0
591,0,0.0,0.0,0.0,2.0,0.0
592,0,3.0,4.0,2.0,2.0,1.0
593,0,11.0,1.0,2.0,0.0,1.0
594,0,4.0,0.0,0.0,0.0,0.0
595,0,6.0,4.0,8.0,12.0,12.0
596,0,10.0,14.0,13.0,0.0,0.0
597,0,9.0,0.0,0.0,0.0,0.0
598,0,41.0,33.0,24.0,6.0,6.0
599,0,30.0,3.0,5.0,1.0,2.0
600,1,17.0,3.0,4.0,6.0,0.0
601,0,11.0,56.0,48.0,4.0,0.0
602,0,10.0,0.0,0.0,0.0,0.0
603,0,3.0,0.0,0.0,0.0,0.0
604,-1,9.0,0.0,0.0,0.0,0.0
605,-1,12.0,1.0,3.0,1.0,1.0
606,-1,13.0,4.0,6.0,4.0,7.0
607,0,6.0,21.0,20.0,3.0,1.0
608,0,8.0,3.0,3.0,0.0,0.0
609,-1,5.0,0.0,0.0,0.0,0.0
610,0,9.0,0.0,0.0,0.0,0.0
611,1,35.0,56.0,44.0,5.0,6.0
612,0,15.0,7.0,7.0,3.0,3.0
613,0,0.0,2.0,1.0,0.0,0.0
614,1,20.0,23.0,30.0,0.0,1.0
615,1,16.0,38.0,38.0,10.0,12.0
616,0,12.0,3.0,4.0,1.0,0.0
617,1,18.0,1585.0,1586.0,4.0,4.0
618,-1,2.0,0.0,0.0,0.0,0.0
619,0,27.0,2.0,2.0,0.0,0.0
620,0,3.0,0.0,0.0,0.0,0.0
621,0,19.0,0.0,0.0,0.0,0.0
622,1,20.0,67.0,65.0,20.0,28.0
623,0,12.0,25.0,72.0,32.0,19.0
624,0,19.0,2.0,3.0,0.0,2.0
625,1,10.0,3.0,5.0,1.0,3.0
626,0,4.0,0.0,0.0,0.0,0.0
627,0,16.0,0.0,0.0,1.0,2.0
628,0,20.0,14.0,20.0,14.0,5.0
629,0,1.0,0.0,0.0,0.0,0.0
630,0,5.0,0.0,0.0,0.0,0.0
631,0,7.0,8.0,8.0,5.0,21.0
632,0,19.0,239.0,241.0,5.0,5.0
633,1,8.0,0.0,0.0,0.0,0.0
634,1,0.0,26.0,28.0,30.0,14.0
635,0,7.0,1.0,2.0,0.0,0.0
636,0,0.0,4.0,4.0,10.0,1.0
637,0,8.0,23.0,16.0,2.0,3.0
638,0,0.0,6.0,11.0,4.0,2.0
639,0,10.0,61.0,69.0,12.0,13.0
640,0,16.0,147.0,122.0,21.0,10.0
641,0,41.0,4.0,6.0,2.0,4.0
642,0,9.0,0.0,0.0,0.0,0.0
643,0,5.0,2.0,1.0,3.0,1.0
644,0,34.0,17.0,18.0,2.0,2.0
645,1,27.0,39.0,33.0,6.0,4.0
646,0,33.0,0.0,0.0,0.0,0.0
647,0,7.0,0.0,0.0,0.0,0.0
648,0,13.0,2.0,2.0,1.0,3.0
649,0,4.0,2.0,4.0,0.0,0.0
650,0,6.0,1.0,1.0,3.0,0.0
651,1,13.0,75.0,29.0,20.0,32.0
652,1,48.0,42.0,49.0,13.0,12.0
653,0,17.0,34.0,42.0,0.0,1.0
654,0,4.0,6.0,8.0,0.0,1.0
655,0,5.0,0.0,0.0,0.0,0.0
656,0,4.0,10.0,12.0,2.0,1.0
657,0,39.0,13.0,12.0,5.0,2.0
658,0,11.0,7.0,5.0,1.0,0.0
659,0,23.0,0.0,2.0,0.0,0.0
660,0,5.0,0.0,0.0,0.0,0.0
661,0,15.0,23.0,19.0,6.0,1.0
662,0,,,,,
663,0,16.0,3.0,2.0,0.0,1.0
664,0,21.0,4.0,3.0,1.0,2.0
665,0,0.0,19.0,17.0,2.0,7.0
666,1,16.0,29.0,23.0,17.0,25.0
667,0,5.0,1.0,1.0,0.0,0.0
668,0,8.0,1.0,1.0,5.0,4.0
669,0,2.0,0.0,1.0,1.0,0.0
670,0,37.0,17.0,13.0,6.0,5.0
671,0,7.0,13.0,13.0,1.0,0.0
672,0,25.0,8.0,16.0,3.0,12.0
673,0,11.0,10.0,6.0,1.0,1.0
674,0,10.0,0.0,0.0,1.0,0.0
675,-1,2.0,1.0,0.0,0.0,0.0
676,0,9.0,11.0,19.0,11.0,8.0
677,1,39.0,57.0,54.0,25.0,21.0
678,0,25.0,7.0,6.0,38.0,6.0
679,0,15.0,0.0,0.0,0.0,0.0
680,0,5.0,1.0,1.0,0.0,0.0
681,0,0.0,35.0,31.0,21.0,34.0
682,1,14.0,34.0,37.0,24.0,21.0
683,0,13.0,107.0,102.0,9.0,12.0
684,1,4.0,0.0,0.0,0.0,0.0
685,0,12.0,2.0,4.0,0.0,1.0
686,0,7.0,0.0,0.0,0.0,0.0
687,0,13.0,14.0,15.0,5.0,2.0
688,-1,21.0,124.0,111.0,31.0,23.0
689,0,22.0,2.0,1.0,0.0,1.0
690,0,3.0,0.0,0.0,0.0,0.0
691,0,10.0,0.0,0.0,1.0,0.0
692,0,32.0,4.0,4.0,10.0,6.0
693,0,8.0,0.0,0.0,0.0,0.0
694,0,10.0,8.0,16.0,3.0,4.0
695,0,33.0,9.0,4.0,2.0,0.0
696,0,12.0,5.0,6.0,2.0,0.0
697,0,4.0,55.0,47.0,4.0,4.0
698,0,0.0,12.0,19.0,2.0,5.0
699,0,5.0,4.0,6.0,2.0,11.0
700,1,13.0,11.0,9.0,0.0,2.0
701,1,16.0,4.0,2.0,12.0,1.0
702,0,14.0,9.0,11.0,7.0,11.0
703,0,0.0,42.0,44.0,5.0,2.0
704,0,1.0,6.0,4.0,0.0,1.0
705,1,1.0,0.0,0.0,0.0,0.0
706,0,86.0,5.0,4.0,5.0,3.0
707,1,17.0,68.0,70.0,4.0,3.0
709,1,15.0,3.0,3.0,2.0,1.0
710,0,2.0,0.0,0.0,0.0,0.0
711,0,22.0,10.0,11.0,3.0,2.0
712,1,15.0,0.0,0.0,0.0,0.0
713,-1,7.0,0.0,0.0,0.0,0.0
714,0,6.0,8.0,15.0,2.0,2.0
715,0,10.0,0.0,0.0,0.0,0.0
716,0,,,,,
717,0,3.0,0.0,0.0,0.0,0.0
718,0,4.0,0.0,0.0,0.0,0.0
719,0,9.0,0.0,0.0,0.0,0.0
720,1,29.0,7.0,8.0,3.0,3.0
721,0,21.0,0.0,0.0,0.0,0.0
722,1,13.0,0.0,0.0,0.0,0.0
723,0,13.0,0.0,0.0,0.0,0.0
724,0,,,,,
725,0,3.0,0.0,0.0,0.0,0.0
726,0,6.0,0.0,0.0,0.0,0.0
727,0,,,,,
728,0,13.0,0.0,0.0,0.0,0.0
729,0,35.0,0.0,0.0,0.0,0.0
730,1,1.0,0.0,0.0,0.0,0.0
733,0,74.0,0.0,0.0,0.0,0.0
734,0,9.0,0.0,0.0,0.0,0.0
735,1,25.0,0.0,0.0,0.0,0.0
736,0,14.0,45.0,41.0,23.0,19.0
737,0,10.0,0.0,0.0,0.0,0.0
738,0,3.0,0.0,0.0,0.0,0.0
739,0,3.0,0.0,0.0,0.0,0.0
740,0,6.0,0.0,0.0,0.0,0.0
741,0,19.0,0.0,0.0,0.0,0.0
742,0,8.0,1.0,3.0,0.0,0.0
743,1,22.0,28.0,29.0,4.0,2.0
744,0,21.0,22.0,31.0,8.0,4.0
745,0,4.0,0.0,0.0,0.0,0.0
746,-1,10.0,0.0,0.0,0.0,0.0
747,-1,6.0,0.0,0.0,0.0,0.0
748,-1,7.0,7.0,8.0,0.0,0.0
749,-1,15.0,0.0,0.0,0.0,0.0
750,0,2.0,0.0,0.0,0.0,0.0
751,0,3.0,0.0,0.0,0.0,0.0
752,1,26.0,25.0,33.0,0.0,6.0
753,0,2.0,0.0,0.0,0.0,0.0
754,0,5.0,0.0,0.0,0.0,2.0
755,-1,14.0,0.0,0.0,0.0,0.0
756,0,5.0,0.0,0.0,0.0,0.0
757,0,3.0,0.0,0.0,0.0,0.0
758,0,10.0,0.0,0.0,0.0,0.0
759,0,6.0,10.0,13.0,0.0,0.0
760,0,5.0,1.0,0.0,0.0,0.0
761,0,33.0,0.0,0.0,0.0,0.0
762,0,14.0,0.0,0.0,0.0,0.0
763,0,12.0,0.0,0.0,0.0,0.0
764,0,4.0,0.0,1.0,0.0,0.0
